curriculum,qualification_responsible_position,name_responsible,degree_reponsible,program_responsible,institute_responsible,year_graduate_responsible
5-BRD66-วทบ-สถาปัตยกรรม เพื่อการพัฒนาอสังหาริมทรัพย์66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชมพูนุท คงพุนพิน,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยเชียงใหม่,2555
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,พัทมน เสลานนท์,Ph.D.,Landscape Architecture (History and Theory),"University of Newcastle upon Tyne, UK",2560
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,พัทมน เสลานนท์,M.L.A.,Landscape Architecture,"University of Oklahoma, USA",2545
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,พัทมน เสลานนท์,สถ.บ.,สถาปัตยกรรม,สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,2539
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,ผู้ช่วยศาสตราจารย์,ภวินท์ สิริสาลี,ภ.สถ.ม.,ภูมิสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,2551
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,ผู้ช่วยศาสตราจารย์,ภวินท์ สิริสาลี,ภ.สถ.ม.,ภูมิสถาปัตยกรรม,มหาวิทยาลัยเกษตรศาสตร,2549
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ปราณิศา บุญค้ำ,M.LA.,Landscape Architecture,"Harvard University, USA",2544
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ปราณิศา บุญค้ำ,ภ.สถ.บ.,ภูมิสถาปัตยกรรม (เกียรตินิยม),จุฬาลงกรณ์มหาวิทยาลัย,2539
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,ชุมเขต แสวงเจริญ,ปร.ด.,การใช้ที่ดินและการจัดการทรัพยากรธรรมชาติอย่างยั่งยืน,มหาวิทยาลัยเกษตรศาสตร,2560
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,ชุมเขต แสวงเจริญ,ภ.สถ.ม.,ภูมิสถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,2549
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,รองศาสตราจารย์ ดร.,ชุมเขต แสวงเจริญ,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยขอนแก่น,2546
3-BLN66-ภูมิสถาปัตยกรรมบัณฑิต66-10-1-67,ผู้ช่วยศาสตราจารย์,ศุภวัจน์ แก้วขาว,วท.บ.,พืชสวน,มหาวิทยาลัยเกษตรศาสตร,2535
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,ดร. สุรพิชย์ พรหมสิทธิ์,Ph.D.,Education,"University of Western Sydney, Australia",2547
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,ดร. สุรพิชย์ พรหมสิทธิ์,M.B.A.,Tourism,"Universitiy of Technology, Australia",2542
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,ดร. สุรพิชย์ พรหมสิทธิ์,ศศ.บ.,ภาษาอังกฤษธุรกิจ (เกียรตินิยม),มหาวิทยาลัยอัสสัมชัญ,2541
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,"Hyun Wook Hwangbo, Ph.D.",Ph.D.,Design,"Lancaster Institutes for theContemporary Arts, LancasterUniversity, United Kingdom",2559
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,"Hyun Wook Hwangbo, Ph.D.",M.A.,Design & Branding Strategy,"Department of Design, BrunelUniversity, London, UnitedKingdom",2552
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,"Hyun Wook Hwangbo, Ph.D.",M.A.,Design,"Gradeate School of Design,SungKyunKwan University,Seoul, South Korea",2548
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,"Hyun Wook Hwangbo, Ph.D.",B.A.,"Business Management and EnglishLanguage,","Linguistics & Literature (DoubleMajor), SungKyunKwanUniversity, Seoul, South Korea",2546
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,ดร.อรรฆพันธ์ เธียรถาวร,Ph.D.,Design & Creative Industries Management,"University for the Creative Arts, UK",2561
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,ดร.อรรฆพันธ์ เธียรถาวร,ศป.ม.,นฤมิตศิลป์ (เรขศิลป์),จุฬาลงกรณ์มหาวิทยาลัย,2549
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,ดร.อรรฆพันธ์ เธียรถาวร,วท.บ.,ออกแบบผลิตภัณฑ์อุตสาหกรรม,มหาวิทยาลัยสวนดุสิต,2545
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,Massimo Ingegno,M.Sc.,International Planning,"University Collage London, UK",2558
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,Massimo Ingegno,M.Sc.,International Development (UrbanDevelopment),"University of Birmingham, UK",2556
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),อาจารย์,Massimo Ingegno,B.Sc.,Economic Development & InternationalCooperation,"University of Florance, Italy",2555
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,"Kim Neil Irvine, Ph.D.",Ph.D.,Geography,McMaster University,2532
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,"Kim Neil Irvine, Ph.D.",M.Sc.,Geography,McMaster University,2528
6-B-DBTM66-วท.บ.การจัดการออกแบบ ธุรกิจฯ66-กมอ.10-68(P20-10-68),ผู้ช่วยศาสตราจารย์,"Kim Neil Irvine, Ph.D.",B.Sc.,Geography,University of Toronto,2526
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,สมรรถพล ตาณพันธุ์,สถ.ม.,สถาปัตยกรรม,มหาวิทยาลัยธรรมศาสตร์,2545
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,สมรรถพล ตาณพันธุ์,วท.บ.,สถาปตยกรรม (เกียรตินิยม),มหาวิทยาลัยธรรมศาสตร์,2547
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,พฤฒิพร ลพเกิด,สถ.ม.,สถาปัตยกรรม,จุฬาลงกรณ์มหาวิทยาลัย,2550
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,พฤฒิพร ลพเกิด,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยเกษตรศาสตร,2543
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,อาจารย์ ดร.,กนกวรรณ ตระกูลยิ่งเจริญ,Ph.D.,Building Engineering,"Universita degli studi di Roma, Italy",2555
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,อาจารย์ ดร.,กนกวรรณ ตระกูลยิ่งเจริญ,M.Arch.,History of Architecture,"University of Rome III, Italy",2552
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,อาจารย์ ดร.,กนกวรรณ ตระกูลยิ่งเจริญ,สถ.บ.,สถาปัตยกรรม,สถาบันเทคโนโลยีพระจอมเกลาเจาคุณทหารลาดกระบัง,2544
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,นิรันดร ทองอรุณ,M.Arch.,Architecture with Distinction,"University of Michigan, Ann Arbor, USA",2549
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์,นิรันดร ทองอรุณ,สถ.บ.,สถาปัตยกรรม (เกียรตินิยม),มหาวิทยาลัยรังสิต,2537
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชาวี บุษยรัตน์,Ph.D.,Science of Engineering Profession,"Graduate School of Arts et Metiers Paris Tech, France",2553
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชาวี บุษยรัตน์,M.Sc.,Science of Information and System,"University of Provence, of Mediterranee,France",2549
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชาวี บุษยรัตน์,M.Sc.,Careers of Digital Design andApplications,"University of Provence, of Mediterranee,France",2548
1-BAR66-วทบ-สถาปัตยกรรม66-กมอ.10-1-67,ผู้ช่วยศาสตราจารย์ ดร.,ชาวี บุษยรัตน์,สถ.บ.,สถาปัตยกรรม,มหาวิทยาลัยเกษตรศาสตร์,2545
